#cam_angle[deg]	polar_radius[mm]
95.2500	21.7324080
95.5000	21.7195510
95.7500	21.7063060
96.0000	21.6926510
96.2500	21.6786300
96.5000	21.6642430
96.7500	21.6494570
97.0000	21.6342790
97.2500	21.6187370
97.5000	21.6028330
97.7500	21.5865180
98.0000	21.5698280
98.2500	21.5527770
98.5000	21.5353670
98.7500	21.5175350
99.0000	21.4993460
99.2500	21.4807990
99.5000	21.4618810
99.7500	21.4425600
100.0000	21.4228840
100.2500	21.4028550
100.5000	21.3824420
100.7500	21.3616450
101.0000	21.3404970
101.2500	21.3189990
101.5000	21.2971060
101.7500	21.2748500
102.0000	21.2522460
102.2500	21.2292980
102.5000	21.2059460
102.7500	21.1822520
103.0000	21.1582190
103.2500	21.1338350
103.5000	21.1090720
103.7500	21.0839770
104.0000	21.0585530
104.2500	21.0327800
104.5000	21.0066510
104.7500	20.9802030
105.0000	20.9534390
105.2500	20.9263370
105.5000	20.8989010
105.7500	20.8711620
106.0000	20.8431240
106.2500	20.8147670
106.5000	20.7860950
106.7500	20.7571400
107.0000	20.7279040
107.2500	20.6983800
107.5000	20.6685570
107.7500	20.6384720
108.0000	20.6081280
108.2500	20.5775330
108.5000	20.5466590
108.7500	20.5155420
109.0000	20.4841920
109.2500	20.4526160
109.5000	20.4208150
109.7500	20.3887750
110.0000	20.3565310
110.2500	20.3240880
110.5000	20.2914530
110.7500	20.2586340
111.0000	20.2256140
111.2500	20.1924260
111.5000	20.1590760
111.7500	20.1255730
112.0000	20.0919230
112.2500	20.0581330
112.5000	20.0241980
112.7500	19.9901400
113.0000	19.9559680
113.2500	19.9216890
113.5000	19.8873110
113.7500	19.8528410
114.0000	19.8182870
114.2500	19.7836520
114.5000	19.7489510
114.7500	19.7141940
115.0000	19.6793880
115.2500	19.6445430
115.5000	19.6096690
115.7500	19.5747740
116.0000	19.5398670
116.2500	19.5049590
116.5000	19.4700600
116.7500	19.4351810
117.0000	19.4003330
117.2500	19.3655270
117.5000	19.3307750
117.7500	19.2960870
118.0000	19.2614750
118.2500	19.2269490
118.5000	19.1925190
118.7500	19.1581960
119.0000	19.1239890
119.2500	19.0899080
119.5000	19.0559610
119.7500	19.0221570
120.0000	18.9885060
120.2500	18.9550140
120.5000	18.9216910
120.7500	18.8885530
121.0000	18.8556020
121.2500	18.8228450
121.5000	18.7902870
121.7500	18.7579360
122.0000	18.7257980
122.2500	18.6938800
122.5000	18.6621870
122.7500	18.6307260
123.0000	18.5995020
123.2500	18.5685220
123.5000	18.5378270
123.7500	18.5074020
124.0000	18.4772430
124.2500	18.4473560
124.5000	18.4177430
124.7500	18.3884100
125.0000	18.3593780
125.2500	18.3306970
125.5000	18.3023140
125.7500	18.2742290
126.0000	18.2464440
126.2500	18.2189650
126.5000	18.1918980
126.7500	18.1651420
127.0000	18.1386960
127.2500	18.1125060
127.5000	18.0867690
127.7500	18.0613590
128.0000	18.0362920
128.2500	18.0115730
128.5000	17.9872040
128.7500	17.9631860
129.0000	17.9395200
129.2500	17.9162060
129.5000	17.8932450
129.7500	17.8706370
130.0000	17.8483820
130.2500	17.8264820
130.5000	17.8049340
130.7500	17.7837410
131.0000	17.7629000
131.2500	17.7424120
131.5000	17.7222760
131.7500	17.7024920
132.0000	17.6830580
132.2500	17.6639750
132.5000	17.6452410
132.7500	17.6268540
133.0000	17.6088150
133.2500	17.5911220
133.5000	17.5737730
133.7500	17.5567680
134.0000	17.5401050
134.2500	17.5237820
134.5000	17.5077980
134.7500	17.4921520
135.0000	17.4768420
135.2500	17.4618670
135.5000	17.4472240
135.7500	17.4329130
136.0000	17.4189300
136.2500	17.4052750
136.5000	17.3919470
136.7500	17.3789420
137.0000	17.3662600
137.2500	17.3538980
137.5000	17.3418550
137.7500	17.3301290
138.0000	17.3187120
138.2500	17.3075860
138.5000	17.2969040
138.7500	17.2864070
139.0000	17.2761740
139.2500	17.2663540
139.5000	17.2567840
139.7500	17.2474630
140.0000	17.2384700
140.2500	17.2297930
140.5000	17.2213580
140.7500	17.2131640
141.0000	17.2053170
141.2500	17.1977250
141.5000	17.1903620
141.7500	17.1832290
142.0000	17.1764180
142.2500	17.1698330
142.5000	17.1634630
142.7500	17.1573060
143.0000	17.1514060
143.2500	17.1457340
143.5000	17.1402560
143.7500	17.1349680
144.0000	17.1298660
144.2500	17.1249770
144.5000	17.1202730
144.7500	17.1157310
145.0000	17.1113460
145.2500	17.1071120
145.5000	17.1030220
145.7500	17.0990800
146.0000	17.0952790
146.2500	17.0915990
146.5000	17.0880320
146.7500	17.0845740
147.0000	17.0812190
147.2500	17.0779610
147.5000	17.0747960
147.7500	17.0717190
148.0000	17.0687280
148.2500	17.0658270
148.5000	17.0630060
148.7500	17.0602650
149.0000	17.0576020
149.2500	17.0550160
149.5000	17.0525060
149.7500	17.0500710
150.0000	17.0477100
150.2500	17.0454220
150.5000	17.0432060
150.7500	17.0410610
151.0000	17.0389860
151.2500	17.0369800
151.5000	17.0350460
151.7500	17.0331800
152.0000	17.0313800
152.2500	17.0296440
152.5000	17.0279720
152.7500	17.0263630
153.0000	17.0248150
153.2500	17.0233270
153.5000	17.0218990
153.7500	17.0205280
154.0000	17.0192150
154.2500	17.0179580
154.5000	17.0167560
154.7500	17.0156080
155.0000	17.0145120
155.2500	17.0134680
155.5000	17.0124740
155.7500	17.0115330
156.0000	17.0106390
156.2500	17.0097910
156.5000	17.0089890
156.7500	17.0082320
157.0000	17.0075180
157.2500	17.0068460
157.5000	17.0062140
157.7500	17.0056230
158.0000	17.0050690
158.2500	17.0045530
158.5000	17.0040730
158.7500	17.0036270
159.0000	17.0032150
159.2500	17.0028350
159.5000	17.0024860
159.7500	17.0021670
160.0000	17.0018760
160.2500	17.0016120
160.5000	17.0013740
160.7500	17.0011610
161.0000	17.0009710
161.2500	17.0008030
161.5000	17.0006550
161.7500	17.0005270
162.0000	17.0004170
162.2500	17.0003230
162.5000	17.0002450
162.7500	17.0001800
163.0000	17.0001290
163.2500	17.0000880
163.5000	17.0000570
163.7500	17.0000340
164.0000	17.0000190
164.2500	17.0000090
164.5000	17.0000040
164.7500	17.0000010
165.0000	17.0000000
165.2500	17.0000000
165.5000	17.0000000
165.7500	17.0000000
166.0000	17.0000000
166.2500	17.0000000
166.5000	17.0000000
166.7500	17.0000000
167.0000	17.0000000
167.2500	17.0000000
167.5000	17.0000000
167.7500	17.0000000
168.0000	17.0000000
168.2500	17.0000000
168.5000	17.0000000
168.7500	17.0000000
169.0000	17.0000000
169.2500	17.0000000
169.5000	17.0000000
169.7500	17.0000000
170.0000	17.0000000
170.2500	17.0000000
170.5000	17.0000000
170.7500	17.0000000
171.0000	17.0000000
171.2500	17.0000000
171.5000	17.0000000
171.7500	17.0000000
172.0000	17.0000000
172.2500	17.0000000
172.5000	17.0000000
172.7500	17.0000000
173.0000	17.0000000
173.2500	17.0000000
173.5000	17.0000000
173.7500	17.0000000
174.0000	17.0000000
174.2500	17.0000000
174.5000	17.0000000
174.7500	17.0000000
175.0000	17.0000000
175.2500	17.0000000
175.5000	17.0000000
175.7500	17.0000000
176.0000	17.0000000
176.2500	17.0000000
176.5000	17.0000000
176.7500	17.0000000
177.0000	17.0000000
177.2500	17.0000000
177.5000	17.0000000
177.7500	17.0000000
178.0000	17.0000000
178.2500	17.0000000
178.5000	17.0000000
178.7500	17.0000000
179.0000	17.0000000
