#cam_angle[deg]	polar_radius[mm]
108.0000	21.1660870
108.2500	21.1393720
108.5000	21.1122040
108.7500	21.0844990
109.0000	21.0563310
109.2500	21.0277010
109.5000	20.9985320
109.7500	20.9689120
110.0000	20.9388090
110.2500	20.9081930
110.5000	20.8771280
110.7500	20.8455640
111.0000	20.8135150
111.2500	20.7810230
111.5000	20.7480220
111.7500	20.7145660
112.0000	20.6806790
112.2500	20.6462780
112.5000	20.6114540
112.7500	20.5762030
113.0000	20.5404680
113.2500	20.5043290
113.5000	20.4677760
113.7500	20.4307730
114.0000	20.3933900
114.2500	20.3556200
114.5000	20.3174300
114.7500	20.2788870
115.0000	20.2400020
115.2500	20.2007250
115.5000	20.1611290
115.7500	20.1212260
116.0000	20.0809980
116.2500	20.0404690
116.5000	19.9996740
116.7500	19.9586270
117.0000	19.9173130
117.2500	19.8757770
117.5000	19.8340420
117.7500	19.7921270
118.0000	19.7500450
118.2500	19.7078150
118.5000	19.6654740
118.7500	19.6230460
119.0000	19.5805550
119.2500	19.5380300
119.5000	19.4955000
119.7500	19.4529930
120.0000	19.4105400
120.2500	19.3681670
120.5000	19.3258980
120.7500	19.2837580
121.0000	19.2417700
121.2500	19.1999570
121.5000	19.1583410
121.7500	19.1169400
122.0000	19.0757740
122.2500	19.0348670
122.5000	18.9942520
122.7500	18.9539320
123.0000	18.9139200
123.2500	18.8742310
123.5000	18.8348760
123.7500	18.7958660
124.0000	18.7571550
124.2500	18.7189330
124.5000	18.6810890
124.7500	18.6436580
125.0000	18.6066540
125.2500	18.5700880
125.5000	18.5339720
125.7500	18.4983160
126.0000	18.4631290
126.2500	18.4284180
126.5000	18.3941920
126.7500	18.3604550
127.0000	18.3272140
127.2500	18.2944730
127.5000	18.2622340
127.7500	18.2305010
128.0000	18.1992760
128.2500	18.1685590
128.5000	18.1383500
128.7500	18.1086510
129.0000	18.0794590
129.2500	18.0507740
129.5000	18.0225950
129.7500	17.9949190
130.0000	17.9677450
130.2500	17.9410720
130.5000	17.9148950
130.7500	17.8892130
131.0000	17.8640240
131.2500	17.8393230
131.5000	17.8151080
131.7500	17.7913770
132.0000	17.7681240
132.2500	17.7453480
132.5000	17.7230440
132.7500	17.7012090
133.0000	17.6798400
133.2500	17.6589320
133.5000	17.6384810
133.7500	17.6184850
134.0000	17.5989370
134.2500	17.5798360
134.5000	17.5611760
134.7500	17.5429530
135.0000	17.5251650
135.2500	17.5078050
135.5000	17.4908710
135.7500	17.4743580
136.0000	17.4582610
136.2500	17.4425780
136.5000	17.4273030
136.7500	17.4124330
137.0000	17.3979630
137.2500	17.3838900
137.5000	17.3702080
137.7500	17.3569150
138.0000	17.3440060
138.2500	17.3314760
138.5000	17.3193230
138.7500	17.3075390
139.0000	17.2961220
139.2500	17.2850660
139.5000	17.2743640
139.7500	17.2640130
140.0000	17.2540060
140.2500	17.2443370
140.5000	17.2350000
140.7500	17.2259890
141.0000	17.2172530
141.2500	17.2089750
141.5000	17.2008490
141.7500	17.1931240
142.0000	17.1856390
142.2500	17.1783960
142.5000	17.1714650
142.7500	17.1648260
143.0000	17.1584110
143.2500	17.1522220
143.5000	17.1463040
143.7500	17.1406370
144.0000	17.1351710
144.2500	17.1299040
144.5000	17.1248320
144.7500	17.1199930
145.0000	17.1153330
145.2500	17.1108400
145.5000	17.1065060
145.7500	17.1023260
146.0000	17.0982920
146.2500	17.0944160
146.5000	17.0906710
146.7500	17.0870440
147.0000	17.0835310
147.2500	17.0801260
147.5000	17.0768220
147.7500	17.0736160
148.0000	17.0705020
148.2500	17.0674780
148.5000	17.0645460
148.7500	17.0617020
149.0000	17.0589420
149.2500	17.0562650
149.5000	17.0536680
149.7500	17.0511510
150.0000	17.0487120
150.2500	17.0463510
150.5000	17.0440670
150.7500	17.0418570
151.0000	17.0397210
151.2500	17.0376580
